#{"t_start": 1616761110.7713695, "env_id": "CartPole-v1"}
r,l,t
13.0,13,2.325974
12.0,12,2.326821
30.0,30,2.328678
20.0,20,2.329934
23.0,23,2.331477
32.0,32,2.333455
11.0,11,2.334182
20.0,20,2.335432
51.0,51,2.338614
17.0,17,2.339692
14.0,14,2.340591
14.0,14,2.341496
18.0,18,2.342733
10.0,10,2.343406
33.0,33,2.345462
30.0,30,2.347678
26.0,26,2.349486
36.0,36,2.351722
10.0,10,2.35239
13.0,13,2.353249
24.0,24,2.354851
28.0,28,2.356596
15.0,15,2.357648
14.0,14,2.358654
30.0,30,2.360788
17.0,17,2.361966
21.0,21,2.363394
19.0,19,2.364733
20.0,20,2.366215
17.0,17,2.367397
15.0,15,2.368442
26.0,26,2.370206
22.0,22,2.371809
23.0,23,2.373376
13.0,13,2.374291
36.0,36,2.37672
16.0,16,2.378006
12.0,12,2.378872
32.0,32,2.381455
10.0,10,2.382232
11.0,11,2.383169
11.0,11,2.38396
10.0,10,2.384694
18.0,18,2.38596
28.0,28,2.387989
19.0,19,2.389299
32.0,32,2.391438
20.0,20,2.392828
13.0,13,2.406862
34.0,34,2.409269
37.0,37,2.411814
15.0,15,2.412912
24.0,24,2.414722
13.0,13,2.415659
19.0,19,2.417036
22.0,22,2.418579
24.0,24,2.42035
13.0,13,2.42133
12.0,12,2.422195
28.0,28,2.424148
17.0,17,2.425602
16.0,16,2.426791
11.0,11,2.427643
21.0,21,2.429179
28.0,28,2.431639
16.0,16,2.432944
15.0,15,2.434143
29.0,29,2.436371
9.0,9,2.437231
41.0,41,2.44004
36.0,36,2.442503
63.0,63,2.4468
31.0,31,2.449063
36.0,36,2.451522
12.0,12,2.452392
11.0,11,2.453208
29.0,29,2.455303
75.0,75,2.460316
14.0,14,2.461327
18.0,18,2.46264
12.0,12,2.463848
12.0,12,2.464803
25.0,25,2.466573
17.0,17,2.467777
17.0,17,2.469115
29.0,29,2.471099
17.0,17,2.472322
15.0,15,2.473391
20.0,20,2.474899
10.0,10,2.475629
11.0,11,2.47643
56.0,56,2.489821
14.0,14,2.491265
13.0,13,2.492637
11.0,11,2.493563
25.0,25,2.495914
12.0,12,2.497116
28.0,28,2.499048
13.0,13,2.499979
39.0,39,2.502614
13.0,13,2.503664
48.0,48,2.506908
23.0,23,2.5085
19.0,19,2.509839
22.0,22,2.51147
15.0,15,2.512708
30.0,30,2.514931
22.0,22,2.516562
25.0,25,2.518534
57.0,57,2.522541
10.0,10,2.523484
15.0,15,2.524588
26.0,26,2.526515
14.0,14,2.527524
15.0,15,2.528632
23.0,23,2.530243
30.0,30,2.532433
20.0,20,2.533848
44.0,44,2.536885
15.0,15,2.538007
39.0,39,2.540817
15.0,15,2.541896
15.0,15,2.543347
21.0,21,2.545297
14.0,14,2.54685
12.0,12,2.547759
20.0,20,2.549371
16.0,16,2.550743
16.0,16,2.552528
33.0,33,2.555337
11.0,11,2.556146
14.0,14,2.557184
16.0,16,2.55845
13.0,13,2.559396
12.0,12,2.560291
14.0,14,2.561311
27.0,27,2.563295
18.0,18,2.56461
14.0,14,2.565614
22.0,22,2.578693
22.0,22,2.581044
49.0,49,2.585135
21.0,21,2.586934
20.0,20,2.588838
34.0,34,2.591767
35.0,35,2.594995
19.0,19,2.596377
